Date,Team1,Team2,Winner,Venue
2-23-2012, England , Pakistan,Pakistan,Dubai International Cricket Stadium
2-23-2012, Kenya , Ireland,Ireland,Mombasa Sports Club Ground
2-22-2012, New Zealand , South Africa,South Africa,Eden Park
2-22-2012, Kenya , Ireland,Ireland,Mombasa Sports Club Ground
2-19-2012, New Zealand , South Africa,South Africa,Seddon Park
2-17-2012, New Zealand , South Africa,New Zealand,Westpac Stadium
2-14-2012, New Zealand , Zimbabwe,New Zealand,Seddon Park
02-11-2012, New Zealand , Zimbabwe,New Zealand,Eden Park
02-03-2012, Australia , India,India,Melbourne Cricket Ground
02-01-2012, Australia , India,Australia,Stadium Australia
11-29-2011, Bangladesh , Pakistan,Pakistan,Shere Bangla National Stadium
11-25-2011, Pakistan , Sri Lanka,Pakistan,Sheikh Zayed Stadium
10-29-2011, India , England,England,Eden Gardens
10-17-2011, Zimbabwe , New Zealand,New Zealand,Harare Sports Club
10-16-2011, South Africa , Australia,South Africa,New Wanderers Stadium
10-15-2011, Zimbabwe , New Zealand,New Zealand,Harare Sports Club
10-13-2011, South Africa , Australia,Australia,Newlands
10-11-2011, Bangladesh , West Indies,Bangladesh,Shere Bangla National Stadium
9-25-2011, England , West Indies,West Indies,Kennington Oval
9-23-2011, England , West Indies,England,Kennington Oval
9-18-2011, Zimbabwe , Pakistan,Pakistan,Harare Sports Club
9-16-2011, Zimbabwe , Pakistan,Pakistan,Harare Sports Club
8-31-2011, England , India,England,Old Trafford
08-08-2011, Sri Lanka , Australia,Sri Lanka,Pallekele International Cricket Stadium
08-06-2011, Sri Lanka , Australia,Sri Lanka,Pallekele International Cricket Stadium
6-25-2011, England , Sri Lanka,Sri Lanka,County Ground
06-04-2011, West Indies , India,India,Queen's Park Oval
4-21-2011, West Indies , Pakistan,West Indies,Beausejour Stadium
1-14-2011, Australia , England,Australia,Melbourne Cricket Ground
01-12-2011, Australia , England,England,Adelaide Oval
01-09-2011, South Africa , India,India,Moses Mabhida Stadium
12-30-2010, New Zealand , Pakistan,Pakistan,AMI Stadium
12-28-2010, New Zealand , Pakistan,New Zealand,Seddon Park
12-26-2010, New Zealand , Pakistan,New Zealand,Eden Park
10-31-2010, Australia , Sri Lanka,Sri Lanka,Western Australia Cricket Association Ground
10-27-2010, Pakistan , South Africa,South Africa,Sheikh Zayed Stadium
10-26-2010, Pakistan , South Africa,South Africa,Sheikh Zayed Stadium
10-10-2010, South Africa , Zimbabwe,South Africa,De Beers Diamond Oval
10-08-2010, South Africa , Zimbabwe,South Africa,OUTsurance Oval
09-07-2010, England , Pakistan,England,Sophia Gardens
09-05-2010, England , Pakistan,England,Sophia Gardens
07-06-2010, Australia , Pakistan,Pakistan,Edgbaston
07-05-2010, Australia , Pakistan,Pakistan,Edgbaston
6-13-2010, Zimbabwe , India,India,Harare Sports Club
06-12-2010, Zimbabwe , India,India,Harare Sports Club
5-23-2010, New Zealand , Sri Lanka,Sri Lanka,Central Broward Regional Park Stadium Turf Ground
5-22-2010, New Zealand , Sri Lanka,New Zealand,Central Broward Regional Park Stadium Turf Ground
5-20-2010, West Indies , South Africa,South Africa,Sir Vivian Richards Stadium
5-19-2010, West Indies , South Africa,South Africa,Sir Vivian Richards Stadium
5-16-2010, Australia , England,England,Kensington Oval
5-14-2010, Australia , Pakistan,Australia,Beausejour Stadium
5-13-2010, England , Sri Lanka,England,Beausejour Stadium
05-11-2010, India , Sri Lanka,Sri Lanka,Beausejour Stadium
05-11-2010, West Indies , Australia,Australia,Beausejour Stadium
05-10-2010, Pakistan , South Africa,Pakistan,Beausejour Stadium
05-10-2010, England , New Zealand,England,Beausejour Stadium
05-09-2010, West Indies , India,West Indies,Kensington Oval
05-09-2010, Australia , Sri Lanka,Australia,Kensington Oval
05-08-2010, New Zealand , Pakistan,New Zealand,Kensington Oval
05-08-2010, England , South Africa,England,Kensington Oval
05-07-2010, Australia , India,Australia,Kensington Oval
05-07-2010, West Indies , Sri Lanka,Sri Lanka,Kensington Oval
05-06-2010, England , Pakistan,England,Kensington Oval
05-06-2010, New Zealand , South Africa,South Africa,Kensington Oval
05-05-2010, Afghanistan , South Africa,South Africa,Kensington Oval
05-05-2010, Australia , Bangladesh,Australia,Kensington Oval
05-04-2010, England , Ireland,no result,Providence Stadium
05-04-2010, New Zealand , Zimbabwe,New Zealand,Providence Stadium
05-03-2010, West Indies , England,West Indies,Providence Stadium
05-03-2010, Sri Lanka , Zimbabwe,Sri Lanka,Providence Stadium
05-02-2010, India , South Africa,India,Beausejour Stadium
05-02-2010, Australia , Pakistan,Australia,Beausejour Stadium
05-01-2010, Afghanistan , India,India,Beausejour Stadium
05-01-2010, Bangladesh , Pakistan,Pakistan,Beausejour Stadium
4-30-2010, West Indies , Ireland,West Indies,Providence Stadium
4-30-2010, New Zealand , Sri Lanka,New Zealand,Providence Stadium
2-28-2010, New Zealand , Australia,tie,AMI Stadium
2-28-2010, West Indies , Zimbabwe,Zimbabwe,Queen's Park Oval
2-26-2010, New Zealand , Australia,Australia,Westpac Stadium
2-23-2010, Australia , West Indies,Australia,Sydney Cricket Ground
2-21-2010, Australia , West Indies,Australia,Bellerive Oval
2-20-2010, England , Pakistan,Pakistan,Dubai International Cricket Stadium
2-19-2010, England , Pakistan,England,Dubai International Cricket Stadium
2-13-2010, Ireland , Netherlands,Ireland,Dubai International Cricket Stadium
2-13-2010, Afghanistan , Ireland,Afghanistan,Dubai International Cricket Stadium
02-12-2010, Afghanistan , Netherlands,Netherlands,Dubai International Cricket Stadium
02-11-2010, Ireland , Scotland,Ireland,Dubai International Cricket Stadium
02-10-2010, Canada , Kenya,Kenya,Dubai International Cricket Stadium
02-09-2010, Afghanistan , Ireland,Afghanistan,Dubai International Cricket Stadium
02-09-2010, Canada , Netherlands,Netherlands,Dubai International Cricket Stadium
02-05-2010, Australia , Pakistan,Australia,Melbourne Cricket Ground
02-03-2010, New Zealand , Bangladesh,New Zealand,Seddon Park
12-12-2009, India , Sri Lanka,India,Punjab Cricket Association Stadium
12-09-2009, India , Sri Lanka,Sri Lanka,Vidarbha Cricket Association Stadium
11-15-2009, South Africa , England,South Africa,SuperSport Park
11-13-2009, South Africa , England,England,New Wanderers Stadium
11-13-2009, New Zealand , Pakistan,Pakistan,Dubai International Cricket Stadium
11-12-2009, New Zealand , Pakistan,Pakistan,Dubai International Cricket Stadium
09-04-2009, Sri Lanka , New Zealand,New Zealand,R Premadasa Stadium
09-02-2009, Sri Lanka , New Zealand,New Zealand,R Premadasa Stadium
8-30-2009, England , Australia,no result,Old Trafford
08-12-2009, Sri Lanka , Pakistan,Pakistan,R Premadasa Stadium
08-02-2009, West Indies , Bangladesh,West Indies,Warner Park
